epoch,train loss,train acc,test loss,test acc
0,0.8031875397250057,3.2680653613072264,0.7584370695184917,5.840584058405841
1,0.7553597090682015,6.788135762715254,0.7032777649788186,10.601060106010602
2,0.7152471664372831,9.580191603832077,0.6697788980938494,12.55125512551255
3,0.6763581563862041,12.820256405128102,0.6426774840110447,14.631463146314632
4,0.6422624778358731,15.424308486169723,0.6018840093732287,17.78177817781778
5,0.6099269270262215,17.920358407168145,0.5833722114234697,19.2019201920192
6,0.5748768392876722,20.704414088281766,0.5625528523649554,20.44204420442044
7,0.5417713121590013,23.266465329306588,0.5512058339051873,21.152115211521153
8,0.5060618573603147,26.020520410408206,0.5308325879853801,22.84228422842284
9,0.4707630205591378,28.74057481149623,0.5319603022365481,22.72227222722272
10,0.4370909353382973,31.10262205244105,0.5165522211783318,23.8023802380238
11,0.404365019680612,33.66067321346427,0.5044089969232737,24.842484248424842
12,0.3750227003376174,35.62271245424908,0.49912479633372275,24.972497249724974
13,0.34271453151490566,38.000760015200306,0.4979850952529523,25.132513251325133
14,0.31309704270513666,40.09880197603952,0.4865689668912018,25.862586258625864
15,0.2857405554019875,42.03884077681553,0.48979989617923275,26.022602260226023
16,0.2595082990737419,43.85487709754195,0.47661174644198034,26.582658265826584
17,0.23818350343471284,45.38490769815396,0.4699989427374967,27.292729272927293
18,0.21225214708330295,47.150943018860374,0.4725931084882468,26.75267526752675
19,0.18865931928374538,48.97497949958999,0.47165676949873886,26.832683268326832
20,0.17283745569944295,50.091001820036404,0.4582532446491532,27.842784278427843
21,0.15644645026553772,51.12302246044921,0.45969557602991334,27.52275227522752
22,0.1402581987490653,52.37504750095002,0.46156531701900533,27.652765276527653
23,0.12483449721858014,53.487069741394826,0.4584589257189073,27.982798279827982
24,0.10851910699565342,54.58309166183324,0.45780217667267425,28.032803280328032
25,0.10249557157427364,55.05510110202204,0.4432702671107254,28.752875287528752
26,0.08426228016332024,56.28712574251485,0.44818687847393446,28.622862286228624
27,0.07085932635399513,57.30714614292286,0.45716128929390104,27.892789278927893
28,0.0655615718627163,57.775155503110064,0.4588882305558655,27.632763276327633
29,0.059633148569299375,58.167163343266864,0.4447528471068072,28.932893289328934
30,0.04800574948455178,58.999179983599674,0.449932481976095,28.24282428242824
31,0.044110812623524905,59.219184383687676,0.45572503062017494,28.102810281028102
32,0.03373610119191262,60.06320126402528,0.4401347523215809,29.212921292129213
33,0.028382529977970625,60.17520350407008,0.4384813784756116,29.382938293829383
34,0.021443086904092253,60.751215024300485,0.43477295286470324,29.612961296129612
35,0.012968108660888265,61.40322806456129,0.44488942978956036,28.662866286628663
36,0.0036489617057202848,62.0332406648133,0.4456168154293555,29.01290129012901
37,-0.0024129653360943394,62.5932518650373,0.4553461299037772,28.112811281128113
38,-0.006671043057548672,62.7192543850877,0.43358126914178136,29.51295129512951
39,-0.007976479617809673,62.9212584251685,0.43948970866695164,29.312931293129314
40,-0.014718145459012885,63.42726854537091,0.45151316712669815,28.48284828482848
41,-0.013601635646369323,63.24526490529811,0.43873554224983674,29.27292729272927
42,-0.02471076227082958,64.10728214564291,0.43375582992762796,29.542954295429542
43,-0.033705231994341014,64.76729534590692,0.4506285163925786,28.31283128312831
44,-0.03489609838062315,64.85129702594053,0.4363433492439763,29.472947294729472
45,-0.03556808695470536,64.82729654593092,0.4379319771472801,29.15291529152915
46,-0.041715212750317185,65.31930638612772,0.43438512773544063,29.552955295529554
47,-0.04370440645688286,65.46530930618613,0.4306046368529169,29.92299229922992
48,-0.04454329415815619,65.44730894617892,0.4419894674051611,28.992899289928992
49,-0.05120328064087735,65.92331846636932,0.43113719673926243,29.602960296029604
